lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
linc1253?	Pou5f1	DNA-TF	Binding	Mus musculus	coactivator function of Pontin is mediated by Oct4 binding to the?linc1253?promoter.	embryonic stem (ES) cells		promoter-luciferase reporters	25857206
Linc-md1	Mir135a-1	RNA-RNA	Binding	Mus musculus	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	NULL	in vitro	22000014
Linc-md1	Mir133b	RNA-RNA	Binding	Mus musculus	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	NULL	in vitro	22000014
Linc-md1	Mir135a-2	RNA-RNA	Binding	Mus musculus	linc-MD1 sponges miR-133 and miR-135 to regulate the expression of mastermind-like-1(MAML1) and myocyte-specific enhancer factor 2C (MEF2C), which are transcription factors that activate muscle-specific gene expression in mouse and human myoblasts	muscle	NULL	in vitro	22000014
Linc-md1	Mir133b	RNA-RNA	Binding	Mus musculus	HuR is negatively controlled by miR-133, and that linc-MD1, through miR-133 sponging, positively controls HuR levels during early stages of muscle differentiation. In turn, HuR controls linc-MD1 by favoring its accumulation in the cytoplasm at the expense of miR-133b synthesis.	C2C12 murine myoblasts 	NULL	RIP, Biotin-RNA Pull-Down Assay,qRT-PCR,EMSA	24440503
Lncpint	Trp53	DNA-TF	Binding	Mus musculus	lincRNA-p21 and lincRNA-Mkln1 are bona fide p53 transcriptional targets	NULL	NULL	ChIP	20673990
LincRNA-1	Trp53	DNA-TF	Binding	Mus musculus	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-4	Trp53	DNA-TF	Binding	Mus musculus	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
LincRNA-7	Trp53	DNA-TF	Binding	Mus musculus	we identified a subset of 22 up-regulated and only 1 down-regulated lincRNA that are direct targets of p53	GM00011 fibroblasts	?in response to DNA damage	ChIP-qPCR	25883152
Lncbate1	Hnrnpu	RNA-Protein	Binding	Mus musculus	These findings demonstrate a specific and direct interaction between lnc-BATE1 and hnRNP U, suggesting that they form a functional ribonucleoprotein complex to regulate brown adipogenesis.	Adipose Tissue	inhibition impairs concurrent activation of brown fat and repression of white fat?genes	RIP	25921091
LncHSC-2	Tcf3	RNA-TF	Binding	Mus musculus	LncHSC-2 bind sites are enriched for the hematopoietic-specific TF binding sites, especially E2A	NULL	LncHSC-1 and LncHSC-2 knockdown impacts HSC self-renewal and differentiation	FISH and ChIRP	25772072
LncMyoD	Immp2l	RNA-Protein	Binding	Mus musculus	LncMyoD directly binds to IGF2-mRNA-binding protein 2 (IMP2) and negatively regulates IMP2-mediated translation of proliferation genes such as N-Ras andc-Myc.	NULL	NULL	Immunofluorescence	26143994
LncMyoD	Myod1	DNA-TF	Binding	Mus musculus	MyoD binds to within the LncMyoD promoter	NULL	NULL	ChIP	26143994
Lncpint	Suz12	RNA-Protein	Binding	Mus musculus	We reasoned that these genes might be co-regulated by PRC2 and Pint. We then determined the association of PRC2 with these genes by Suz12 ChIP-qPCR in p53-restored p53LSL/LSL MEFs, with or without inhibition of Pint. The ChIP results confirmed that Suz12 occupied all the analyzed genes in the control conditions.	Lung tumor-derived cell lin	PINT inhibits tumor cell growth.	RACE, RNAi, CHIP, Luciferase reporter assay	24070194
lncRNA AseT	Tnf	RNA-DNA	Regulation	Mus musculus	LncRNAs SeT and AseT Regulate the Homologous Spatial Proximity and Biallelic Expression of Tnf	NULL	NULL	RNA-DNA FISH and LNA	25770217
lncRNA SeT	Tnf	RNA-DNA	Regulation	Mus musculus	LncRNAs SeT and AseT Regulate the Homologous Spatial Proximity and Biallelic Expression of Tnf	NULL	NULL	RNA-DNA FISH and LNA	25770217
lncRNA-Dreh	Vim	RNA-Protein	Binding	Mus musculus	Dreh could combine with the IF protein vimentin, further repress the expression of vimentin, and change the normal cytoskeleton structure	NULL	inhibit HCC growth and metastasis	RIP	23239537
lncRNA-LALR1	Ctcf	RNA-TF	Binding	Mus musculus	lncRNA-LALR1 facilitated cyclin D1 expression through activation of Wnt/	Mouse Liver Tissues and cells (BNL CL.2 and CCL-9.1 cells)	lncRNA-LALR1 facilitated mouse cell cycle progression and hepatocyte proliferation	RIP and ChIP-seq, RT-qPCR,  	23483581
lncRNA-Tcam1	CNS1	DNA-Protein	Binding	Mus musculus	CNS1 functions as a promoter of lncRNA-Tcam1; CNS1 can bidirectionally drive the transcription of Smarcd2 and lncRNA-Tcam1 and enhance Tcam1 gene expression	testicular germ and somatic cells	NULL	ChIP and Luciferase assays	25020229
LOC105246506	Nanog	DNA-TF	Binding	Mus musculus	Only two Oct4 and two Nanog targets fit these stringent criteria, namely AK005651, AK028326 (Gomafu; synonym: Miat), AK043754, and AK141205	mESC	NULL	ChIP	20026622
LOC105358867	Nanog	DNA-TF	Binding	Mus musculus	Only two Oct4 and two Nanog targets fit these stringent criteria, namely AK005651, AK028326 (Gomafu; synonym: Miat), AK043754, and AK141205	mESC	NULL	ChIP	20026622
Lrp1-AS	Hmgb2	RNA-TF	Binding	Mus musculus	Lrp1-AS RNA directly and specifically binds to Hmgb2	NULL	NULL	in vitro binding assays	25937287
m1/2-sbsRNAs	Ly86	RNA-RNA	Regulation	Mus musculus	m1/2-sbsRNAs can mediate the SMD of their predicted target mRNAs	skeletal muscle	cell myogenesis	CLIP	23558772
Malat1	Yap1	RNA-Protein	Regulation	Mus musculus	YAP interacts with TCF4/-catenin to regulate Malat1 transcription	NULL	Malat1 is overexpressed	RNA Immunoprecipitation	24468535
Malat1	Srsf1	RNA-Protein	Regulation	Mus musculus	SRSF1 inhibits YAP transcriptional activity and prevents YAP recruitment on the Malat1 promoter	NULL	Malat1 is suppressed	RNA Immunoprecipitation	24468535
Malat1	Hnrnpc	RNA-Protein	Binding	Mus musculus	MALAT-1 interacts with hnRNP C in cell cycle regulation	NULL	malat1 interacted with hnRNP C and facilitated its cytoplasmic translocation in the G2/M phase, thereby regulating the progress of the cell cycle.	RNA Immunoprecipitation	23973260
Malat1	Mir133a-1	RNA-RNA	Binding	Mus musculus	Malat1 modulates Srf through miR-133 as a competing endogenous RNA and established a novel connection among Malat1, miR-133, and Srf in myoblast differentiation.	muscle		RNA pull-down assay	25868726
Meg3	Ezh2	RNA-Protein	Binding	Mus musculus	Gtl2 RNA - most likely its proximal 1 kb - directly and specifically binds PRC2	NULL	bind to the PRC2-chromatin- modifying complex in mESCs.	RIP-seq	21172659
Meg3	Met	RNA-DNA	Regulation	Mus musculus	a tumor-suppressor long noncoding RNA (MEG3) and suppressed protooncogene (c-MET) combination could elicit menin's tumor-suppressor activity.	insulinoma beta-cells	NULL	in vitro	25565142
Meg3	Ctcf	DNA-TF	Binding	Mus musculus	In the current study, CTCF was detected at DMR region 9 in ES cells, but was not detected at any region in e12.5 embryos	ES;embryo	NULL	chip	22709555
Meg3	Mbd1	DNA-TF	Binding	Mus musculus	MBD1 and MBD3 were not present at any region of the Meg3 DMR in ES cells , while in e12.5 embryos MBD3 was detected at region 8 and MBD1 was detected at region 3.	ES;embryo	NULL	chip	22709555
Meg3	Mbd3	DNA-TF	Binding	Mus musculus	MBD1 and MBD3 were not present at any region of the Meg3 DMR in ES cells , while in e12.5 embryos MBD3 was detected at region 8 and MBD1 was detected at region 4.	ES;embryo	NULL	chip	22709555
Meg3	Mecp2	DNA-TF	Binding	Mus musculus	MECP2 localized approximately 700 base pairs downstream of the Meg3 DMR region.	ES;embryo	NULL	chip	22709555
Meg3	Yy1	DNA-TF	Binding	Mus musculus	The current analysis showed that EED was not present at the Meg3 DMR in ES cells, while YY1 was present at regions 3, 4, and 6 . In e12.5 embryos, EED was not detected at any Meg3 DMR region, and YY1 was present at all nine DMR regions.	ES;embryo	NULL	chip	22709555
Meg3	Zbtb33	DNA-Protein	Binding	Mus musculus	Kaiso(Zbtb33) has not yet been found at any imprinted domains, but we detected it binding to Meg3 DMR region 4 in ES cells.	ES;embryo	NULL	chip	22709555
Mhrt	Smarca4	RNA-Protein	Binding	Mus musculus	Mhrt can directly interact with the helicase domain of Brg1 to regulate its occupancy and activity,suggesting that Mhrt may function as a decoy for the chromatin remodeler to prevent its occupancy on target gene promoters.	heart	prevent chromatin remodelling	RNA immunoprecipitation	25119045
Miat	Bmi1	RNA-Protein	Binding	Mus musculus	RNA immunoprecipitation using an antibody specific to BMI1 revealed an interaction with Gomafu lncRNA. 	NULL	NULL	RIP and ChIP assays	25792222
Miat	Qk	RNA-Protein	Binding	Mus musculus	Gomafu binds directly to the splicing factors QKI and SRSF1	NULL	NULL	NULL	23628989
Miat	Srsf1	RNA-Protein	Binding	Mus musculus	Gomafu binds directly to the splicing factors QKI and SRSF1	NULL	NULL	NULL	23628989
Miat	Sf1	RNA-Protein	Binding	Mus musculus	Gomafu RNA binds directly to SF1 in vivo	NULL	NULL	In vivo co-immunoprecipitation	21463453
Miat	Crybb1	RNA-DNA	Regulation	Mus musculus	Gomafu maintains the PRC1 at the promoter of Crybb1, which serves to repress its expression. 	NULL	NULL	RIP and ChIP assays	25792222
Miat	Pou5f1	DNA-TF	Binding	Mus musculus	Only two Oct4 and two Nanog targets fit these stringent criteria, namely AK005651, AK028326 (Gomafu; synonym: Miat), AK043754, and AK141205	mESC	NULL	ChIP	20026622
MIR222HG	Mir222	DNA-DNA	Regulation	Mus musculus	This suggests that the miR-221 and miR-222 are co-transcribed with Lnc-Ang362, the host transcript from which these miRNAs are excised, and that the transcription initiation site to produce the two miRNAs is further upstream.Lnc-Ang362 is required for the expression of two microRNAs known to be involved in cell proliferation induced by Ang II.	Rat Vascular Smooth Muscle Cells	Knockdown of Lnc-Ang362 decreases expression of miR-221 and miR-222 and reduces cell proliferation	qRT-PCR, RNAi and ChIP-seq 	23697773
MIR222HG	Mir221	DNA-DNA	Regulation	Mus musculus	This suggests that the miR-221 and miR-222 are co-transcribed with Lnc-Ang362, the host transcript from which these miRNAs are excised, and that the transcription initiation site to produce the two miRNAs is further upstream.Lnc-Ang362 is required for the expression of two microRNAs known to be involved in cell proliferation induced by Ang II.	Rat Vascular Smooth Muscle Cells	Knockdown of Lnc-Ang362 decreases expression of miR-221 and miR-222 and reduces cell proliferation	qRT-PCR, RNAi and ChIP-seq 	23697773
Mrln	Atp2a1	RNA-Protein	Binding	Mus musculus	MLN interacts directly with SERCA and impedes Ca2+ uptake into the SR.	NULL	Myoregulin regulates Ca2+ handling by inhibiting the pump activity of SERCA	coIP	25640239
Msx1 AS RNA	Msx1	RNA-RNA	Regulation	Mus musculus	In vitro, Msx1 AS RNA decreased endogenous Msx1 S expression and modified Msx1 protein cell distribution.Msx1 AS RNA could also modulate Msx1 function.	NULL	NULL	in vitro	18728357
Nctc1	Polr2a	RNA-Protein	Binding	Mus musculus	RNAP II association with Nctc1 inversely correlates with H19 transcriptional activation	NULL	Nctc1 imprinting	in viro	23221643
Nctc1	H19	DNA-DNA	Regulation	Mus musculus	Nctc1is co-regulated with Igf2 and H19 and physically interacts with the shared muscle enhancer.	muscle	Nctc1 imprinting	ChIP	23221643
Nctc1	Igf2	DNA-DNA	Regulation	Mus musculus	Nctc1is co-regulated with Igf2 and H19 and physically interacts with the shared muscle enhancer.	muscle	Nctc1 imprinting	ChIP	23221643
Neat1	Mirlet7a-1	RNA-RNA	Binding	Mus musculus	H19 acts as an up-stream regulator of let-7 in skeletal muscle cells, decreased H19 leads to increased bioavailability of let-7.	skeletal muscle cells	H19 depletion impairs insulin sensitivity of muscle cells	in vitro and in vivo	25399420
Neat1	Gm12966	RNA-Protein	Binding	Mus musculus	NEAT1 Associated with SRp40	adipose	NULL	RNA-IP	25437750
Neat1	Sfpq	RNA-Protein	Binding	Mus musculus	Neat1 sequesters Sfpq in paraspeckles in luteal cells	NULL	Neat1 knockout (KO) mice stochastically fail to become pregnant 	ISH and immunostaining	25359727
Neat1	Nono	RNA-Protein	Binding	Mus musculus	NEAT1 RNA binds with paraspeckle proteins.	NULL	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333
Neat1	Pspc1	RNA-Protein	Binding	Mus musculus	NEAT1 RNA binds with paraspeckle proteins.	NULL	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333
Neat1	Nono	RNA-Protein	Binding	Mus musculus	paraspeckle proteins p54/nrb and PSF selectively associate with and stabilize the longer MENbeta, thereby contributing to the organization of the paraspeckle structure.	NULL	NULL	FISH-IF	19188602
Neat1	Pspc1	RNA-Protein	Binding	Mus musculus	paraspeckle proteins p54/nrb and PSF selectively associate with and stabilize the longer MENbeta, thereby contributing to the organization of the paraspeckle structure.	NULL	NULL	FISH-IF	19188602
Neat1	Nono	RNA-Protein	Binding	Mus musculus	Men epsilon/beta transcripts localize to paraspeckles and associate with NONO	NULL	NULL	Co-IP	19106332
Nron	Lrrk2	RNA-Protein	Binding	Mus musculus	Mechanistic studies showed that LRRK2 was a potent negative regulator of the transcription factor NFAT and was a component of a complex that included the large noncoding RNA NRON.	NULL	NULL	Immunoprecipitation-RNA	21983832
Nron	Calm1	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Dyrk1a	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Iqgap1	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Gsk3b	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Nron	Gm12892	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	NULL	NULL	CLIP	21709260
Oct4P4	Suv39h1	RNA-Protein	Binding	Mus musculus	Oct4P4 lncRNA abundance was found to be strongly reduced in anti-SUV39H1 RNA immunoprecipitates after RNAi-mediated reduction of endogenous Oct4P4, thus confirming the specificity of our experiments	 mouse embryonic stem cells	mouse embryonic stem cells (mESCs) self-renewal	RNA immunoprecipitates	26158551
Oct4P4	Pou5f1	RNA-DNA	Binding	Mus musculus	our data demonstrate that the Oct4P4 lncRNA is required to localize MS2-flag to the Oct4 promoter in MS2-flag/Oct4P4-24 	 mouse embryonic stem cells	mouse embryonic stem cells (mESCs) self-renewal	'Oct4P4-MS2 RNA stem loop' tethering system 	26158551
Paupar	Pax6	RNA-TF	Binding	Mus musculus	Paupar acts in a transcript dependent manner to regulate Pax6 through physical association with PAX6 protein	neuroblastoma cell	regulates neural growth and differentiation	UV-RIP	24488179
Pinc	Ezh2	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	NULL	NULL	RIP	22911650
Pinc	Suz12	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	NULL	NULL	RIP	22911650
Pinc	Rbbp7	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	NULL	NULL	RIP	22911650
Pnky	Ptbp1	RNA-Protein	Binding	Mus musculus	Pnky localizes to the nucleus and interacts with the mRNA splicing regulator PTBP1,PTBP1 and Pnky regulate expression of key transcripts related to differentiation.	NULL	Pnky knockdown increases neuronal differentiation in culture and in vivo	ISH, RNA Pulldown and Mass Spectrometry	25800779
Ptgs2os2	Hnrnpab	RNA-Protein	Binding	Mus musculus	hnRNP-A/B and hnRNP-A2/B1 were identified as specific binding partners for lincRNA-Cox2 in both the nuclear and cytosolic fractions via biotin pull-down assay and Mass Spectrometry, later confirmed by Western blot analysis.	dendritic cells; macrophages	NULL	in vitro	23907535
Ptgs2os2	Hnrnpa2b1	RNA-Protein	Binding	Mus musculus	hnRNP-A/B and hnRNP-A2/B1 were identified as specific binding partners for lincRNA-Cox2 in both the nuclear and cytosolic fractions via biotin pull-down assay and Mass Spectrometry, later confirmed by Western blot analysis.	dendritic cells; macrophages	NULL	in vitro	23907535
PU.1 AS lncRNA	Spi1	RNA-RNA	Binding	Mus musculus	PU.1 AS lncRNA promotes adipogenesis through preventing PU.1 mRNA translation via binding to PU.1 mRNA to form mRNA/AS lncRNA	NULL	NULL	in vitro	23749759
Pvt1	Trp53	DNA-TF	Binding	Mus musculus	p53 directly binds to a canonical response element within the PVT1 locus in a sequence-specific manner.	NULL	NULL	Chromatin immunoprecipitation (ChIP)	22110125
Rncr4	Ddx3x	RNA-Protein	Regulation	Mus musculus	Rncr4 as an RNA associated with Ddx3x	retina architecture	NULL	RNA immunoprecipitation assays	26041499
shlnc-EC6	Rac1	RNA-Protein	Binding	Mus musculus	Rac1 is a direct target of shlnc-EC6	erythropoiesis	regulate mouse erythropoiesis	Duel luciferase reporter assays	26098172
Sirt1 AS	Sirt1	RNA-RNA	Regulation	Mus musculus	Overexpression of Sirt1 AS lncRNA increased the level of Sirt1 protein	heart,kidney,liver,spleen,brain,muscle and white adipose	C2C12 differentiation	in vivo	24480449
Six3os1	Eya1	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS.	retina	NULL	RIP	21936910
Six3os1	Eya3	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS.	retina	NULL	RIP	21936910
Six3os1	Eya4	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS.	retina	NULL	RIP	21936910
Six3os1	Ezh2	RNA-Protein	Binding	Mus musculus	Ezh2 and Eya1/3/4 directly bind Six3OS	retina	retinal progenitor	RIP	21936910
Snord116	Rbbp5	RNA-Protein	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Snord116	Crebbp	RNA-DNA	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Snord116	Igf2r	RNA-DNA	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Snord116	Mtor	RNA-DNA	Binding	Mus musculus	116HG binds to RBBP5 and target loci genome wide	NULL	balance energy consumption	ChIRP-seq	23771028
Tmevpg1	H3f3a	RNA-Protein	Regulation	Mus musculus	NeST RNA was found to bind WDR5, a component of the histone H3 lysine 4 methytransferase complex, and to alter histone 3 methylation at the interferon gamma locus.	NULL	NULL	in viro	23415224
Tmevpg1	Wdr5	RNA-Protein	Binding	Mus musculus	NeST RNA was found to bind WDR5, a component of the histone H3 lysine 4 methytransferase complex, and to alter histone 3 methylation at the interferon gamma locus.	NULL	NULL	in viro	23415224
Tmevpg1	Stat4	DNA-TF	Regulation	Mus musculus	Tmevpg1 is regulated by Th1 transcription factors	Th1	NULL	in vitro	22851706
Tmevpg1	Tbx21	DNA-TF	Regulation	Mus musculus	Tmevpg1 is regulated by Th1 transcription factors	Th1	NULL	in vitro	22851706
Tmevpg1	Nfkb1	RNA-TF	Regulation	Mus musculus	Here, we show that T-bet guides epigenetic remodeling of Tmevpg1 proximal and distal enhancers leading to recruitment of stimulus-inducible transcription factors, NF-	Th1 cells	NULL	ISH and Luciferase Assay	25225667
Tmevpg1	Ets1	RNA-TF	Regulation	Mus musculus	Here, we show that T-bet guides epigenetic remodeling of Tmevpg1 proximal and distal enhancers leading to recruitment of stimulus-inducible transcription factors, NF-	Th1 cells	NULL	ISH and Luciferase Assay	25225667
Trp53cor1	Hnrnpk	RNA-Protein	Binding	Mus musculus	LincRNA-p21 acts with hnRNP-K as a transcriptional co-activator of p53-mediated expression of p21	primary mouse embryonic fibroblasts (MEFs)	LincRNA-p21 enforces the G1/S checkpoint	RNA FISH, ChIP-qPCR	24857549
Trp53cor1	Setdb1	RNA-TF	Binding	Mus musculus	lincRNA-p21 associates with the H3K9 methyltransferase SETDB1 and the maintenance DNA methyltransferase DNMT1	Induced pluripotent stem cells	does not promote apoptosis or cell senescence in reprogramming	RNA immunoprecipitation(RIP)	25512341
Trp53cor1	Mir130a	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Mirlet7b	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Mirlet7c-1	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Mir221	RNA-RNA	Regulation	Mus musculus	Subsequent assessment of the microRNAs present in the pulldown complex by using real-time quantitative (q)PCR analysis led to the identification of bona fide miRNAs that interact with and control the abundance of lincRNA-p21.	NULL	NULL	In vitro	22813890
Trp53cor1	Dnmt1	RNA-Protein	Binding	Mus musculus	lincRNA-p21 associates with the H3K9 methyltransferase SETDB1 and the maintenance DNA methyltransferase DNMT2	Induced pluripotent stem cells	NULL	RNA immunoprecipitation(RIP)	25512341
Trp53cor1	Mdm2	RNA-Protein	Binding	Mus musculus	lincRNA-p21, a transcriptional target of p53, feeds back to enhance p53 transcriptional activity, at least in part, via binding to mouse double minute 2 (MDM2), an E3 ubiquitin-protein ligase.	coronary artery	NULL	RIP	25156994
Trp53cor1	Hnrnpk	RNA-Protein	Binding	Mus musculus	lincRNA-p21 physically interacts with hnRNP-K	NULL	signal of triggering apoptosis	RIP	20673990
Trp53cor1	Trp53	DNA-TF	Binding	Mus musculus	lincRNA-p21 and lincRNA-Mkln1 are bona fide p53 transcriptional targets	NULL	NULL	ChIP	20673990
Tsix	Xist	RNA-RNA	Regulation	Mus musculus	Tsix blocks Xist upregulation and prevents the recruitment of silencing factors in cis.	NULL	NULL	in vitro	18974356
Tsix	Ezh2	RNA-Protein	Binding	Mus musculus	Our RIP-seq produced a specific and reproducible profile for the PRC2 transcriptome.	NULL	bind to the PRC2-chromatin- modifying complex in mESCs.	RIP-seq	21172659
Tsix	Dnmt3a	RNA-Protein	Binding	Mus musculus	Dnmt3a was reproducibly found in a complex with Tsix RNA in both male and female ES cells	ES cell	NULL	RNA-ChIP	16507360
Tsix	Xist	RNA-DNA	Regulation	Mus musculus	The noncoding Tsix RNA is an antisense repressor of Xist and regulates X inactivation in mice.	extraembryonic	NULL	In vitro	21852535
Tsix	Xist	RNA-DNA	Regulation	Mus musculus	Tsix directly regulates its transcription.	embryonic stem	NULL	ChIP and RNA-ChIP	16507360
Tsix	Ctcf	DNA-TF	Binding	Mus musculus	CTCF specifically binds Tsix in vitro	fibroblasts	NULL	ChIP	11743158
Ttc39aos1	Pycard	RNA-Protein	Regulation	Mus musculus	lincRNA-EPS acts by repressing a number of pro-apoptotic proteins, most prominently the caspase activating adaptor protein Pycard.	NULL	Depleting lincRNA-EPS by shRNAs severely compromised terminal differentiation of erythroid progen-itors and resulted in elevated apoptosis.	in vitro	24609766
Tunar	Hnrnpk	RNA-Protein	Binding	Mus musculus	TUNA functions by interacting with the RNA-binding proteins PTBP1, hnRNP-K, and nucleolin	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	RIP	24530304
Tunar	Ncl	RNA-Protein	Binding	Mus musculus	TUNA functions by interacting with the RNA-binding proteins PTBP1, hnRNP-K, and nucleolin	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	RIP	24530304
Tunar	Ptbp1	RNA-Protein	Binding	Mus musculus	TUNA functions by interacting with the RNA-binding proteins PTBP1, hnRNP-K, and nucleolin	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	RIP	24530304
Tunar	Fgf4	RNA-DNA	Binding	Mus musculus	TUNA physically binds to the Nanog, Sox2, and Fgf4 promoters and activates transcription by recruiting the multiprotein complex containing PTBP1, hnRNP-K, and NCL	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	ChIRP	24530304
Tunar	Sox2	RNA-DNA	Binding	Mus musculus	TUNA physically binds to the Nanog, Sox2, and Fgf4 promoters and activates transcription by recruiting the multiprotein complex containing PTBP1, hnRNP-K, and NCL	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	ChIRP	24530304
Tunar	Nanog	RNA-DNA	Binding	Mus musculus	TUNA physically binds to the Nanog, Sox2, and Fgf4 promoters and activates transcription by recruiting the multiprotein complex containing PTBP1, hnRNP-K, and NCL	NULL	deregulation of hTUNA in the caudate nucleus may be involved in the pathophysiology of HD	ChIRP	24530304
Wfdc21	Stat3	RNA-TF	Binding	Mus musculus	lnc-DC bound directly to STAT3 in the cytoplasm, which promoted STAT3 phosphorylation on tyrosine-705 by preventing STAT3 binding to and dephosphorylation by SHP1. 	NULL	Knockdown of lnc-DC impaired DC differentiation	MS, RIP and biotin-RNA pull-down assay 	24744378
Xist	Ncor2	RNA-TF	Binding	Mus musculus	Xist silences transcription by directly interacting with SHARP, recruiting SMRT, activating HDAC3, and deacetylating histones to exclude Pol II across the X chromosome	NULL	NULL	RNA FISH	25915022
Xist	Hmgb1	RNA-TF	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Lin28a	RNA-TF	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Cdx2	RNA-TF	Regulation	Mus musculus	Cdx2, a stem cell factor that determines commitment to the extraembryonic lineage, directly binds Xist and activates expression of Xist RNA in extrembryonic cells.	NULL	X chromosome inactivation	in vitro	22942124
Xist	Yy1	RNA-TF	Binding	Mus musculus	Xist RNA can bind to the YY1 protein, which acts as a tether nucleate Xist binding to the Xi	embryonic fibroblasts	NULL	RNA FISH	21729784
Xist	Jpx	RNA-RNA	Regulation	Mus musculus	Xist is controlled by two parallel RNA switches-Tsix for Xa and Jpx for Xi. Whereas Tsix represses Xist on Xa, Jpx activates Xist on Xi.	NULL	Deleting Jpx blocks XCI and is female-lethal.	in vitro	21029862
Xist	Tsix	RNA-RNA	Regulation	Mus musculus	Tsix hypertranscription is sufficient to block Xist RNA accumulation in a cis-limited manner.	NULL	NULL	RNA-FISH	11481444
Xist	Spen	RNA-Protein	Binding	Mus musculus	Xist silences transcription by directly interacting with SHARP, recruiting SMRT, activating HDAC3, and deacetylating histones to exclude Pol II across the X chromosome	NULL	NULL	RNA FISH	25915022
Xist	Hnrnpd	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Celf1	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
Xist	Ddx5	RNA-Protein	Binding	Mus musculus	Xist lncRNA binds 81 proteins in two waves during X chromosome inactivation	NULL	NULL	ChIRP-MS	25843628
